NAMA PERUMAHAN,STATUS,TOTAL HUNIAN,RADIUS,SITE,TERRITORY,TIPE PERUMAHAN,TIPE PLN,AREA PLN,GRADING,KOMPETITOR
SANUR VALLEY @SERPONG,ACCEPTED,161,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
SAWANGAN GREEN PARK,ACCEPTED,110,UNDER 200,KODYA DEPOK,KOTAMADYA,CLUSTER,AERIAL,JABAR,C,INDIHOME
SAWANGAN RESIDENCE IDEAL & RUKO,ACCEPTED,200,OVER 200,KODYA DEPOK,KOTAMADYA,CLUSTER,AERIAL,JABAR,C,INDIHOME
SEGARA CITY - CLUSTER ATLANTIS,ACCEPTED,219,OVER 200,KODYA BEKASI,KOTAMADYA,CLUSTER,AERIAL,DKI,C,INDIHOME
SEGARA CITY - CLUSTER CELTIC,ACCEPTED,243,OVER 200,KODYA BEKASI,KOTAMADYA,CLUSTER,AERIAL,DKI,C,INDIHOME
SENTRA CIMANGGIS,ACCEPTED,84,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
SENTRA DANAU KEMUNING,ACCEPTED,100,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
SENTRA WARINGIN,ACCEPTED,60,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME & OXYGEN
SPRING GREEN RESIDENCE,ACCEPTED,61,UNDER 200,KAB. BEKASI,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
SUKADAMAI GREEN RESIDENCE,ACCEPTED,71,UNDER 200,KODYA BOGOR,KOTAMADYA,CLUSTER,AERIAL,JABAR,C,INDIHOME
SUTERA MEDITERANIA,ACCEPTED,190,UNDER 200,KAB. TANGERANG,KABUPATEN,CLUSTER,AERIAL,DKI,C,INDIHOME
